Agency,State,Months,Population,ViolentCrimerate,Propertycrimerate
Honolulu Police Dept,HI,4,994034,,
Houston Police Dept,TX,12,2219933,991.4,4693.7
Huntington Beach Police Dept,CA,12,199152,196.3,2128
Huntsville Police Dept,AL,12,187624,781.9,4882.6
Independence Police Dept,MO,12,117321,405.7,5610.2
Indianapolis Police Dept,IN,12,858238,1254.7,4823.1
Inglewood Police Dept,CA,12,111997,699.1,2446.5
Irvine Police Department,CA,12,242971,49.4,1253.2
Irving Police Dept,TX,12,231708,221,2715.1
Jackson Police Dept,MS,12,172376,924.1,6022.9
Jacksonville,FL,12,856021,683.7,3940.6
Jersey City Police Dept,NJ,12,260005,531.1,1630.7
Joliet,IL,12,147838,334.8,2021.1
Kansas City Police Dept,KS,12,149103,710.9,4906.7
Kansas City Police Dept,MO,12,468417,1257.9,4862.3
Kenosha Police Dept,WI,12,100025,287.9,2412.4
Kent Police Dept,WA,12,125837,287.7,4984.2
Killeen Police Dept,TX,12,139211,607.7,3378.3
Knoxville Police Dept,TN,12,184362,875.5,6531.7
Lafayette Police Dept,LA,12,125122,650.6,5434.7
Lakeland Police Dept,FL,12,101428,446.6,5210.6
Lakewood,CO,12,148236,481,4617.6
Lancaster,CA,12,160190,556.2,2285.4
Lansing City Police Dept,MI,12,113901,1118.5,3152.7
Laredo,TX,12,250994,388.9,3859.5
Las Cruces Police Dept,NM,12,102113,288.9,4518.5
Las Vegas Metropolitan Police Department,NV,12,1530899,841.1,2923.4
Lewisville Police Dept,TX,12,102439,196.2,2543
Lexington-Fayette County Police Department,KY,12,311848,336.7,3912.5
Lincoln Police Dept,NE,12,271208,338.5,3348.7
Little Rock Police Dept,AR,12,198217,1405,7402
Long Beach Police Dept,CA,12,471123,489,2640.1
Los Angeles Police Dept,CA,12,3906772,490.7,2128.1
Louisville Metro,KY,12,677710,592.4,4196.2
Lowell Police Dept,MA,12,109729,545.9,2551.7
Lubbock Police Dept,TX,12,241826,861.8,4390.3
Madison City Police Dept,WI,12,245788,344.2,2843.5
Manchester Police Dept,NH,12,110571,619.5,3623
Mcallen Police Dept,TX,12,138122,131,3581.6
Mckinney Police Dept,TX,12,152806,146.6,1863.1
Memphis Police Dept,TN,12,654922,1743.7,5995.1
Mesa Police Dept,AZ,12,462092,458.6,2800.3
Mesquite Police Dept,TX,12,144396,299.2,4048.6
Miami Police Dept,FL,12,421996,1060,4832.7
